Run,TotalCompleted,TotalRejected,TotalProducts,AvgWaitingTime,FaultyRate,SupplierOccupancy,WS0_Occupancy,WS0_Downtime,WS1_Occupancy,WS1_Downtime,WS2_Occupancy,WS2_Downtime,WS3_Occupancy,WS3_Downtime,WS4_Occupancy,WS4_Downtime,WS5_Occupancy,WS5_Downtime
63,1176,58,1234,2296.12,4.7,3.25,100.01,6.6,99.25,9.86,98.92,37.01,48.31,86.46,50.15,32.18,98.19,16.95
64,1165,57,1222,2271.05,4.66,3.26,100.04,11.32,98.67,9.36,97.99,52.83,48.71,86.64,49.77,3.85,97.93,31.17
65,1161,52,1213,2276.98,4.29,3.27,100.02,12.25,99.07,0.0,99.09,19.79,48.81,63.82,49.04,26.47,97.94,36.87
66,1188,45,1233,2297.31,3.65,3.28,100.01,5.76,99.71,1.2,98.24,12.02,50.85,79.65,48.64,14.1,99.33,75.97
67,1175,55,1230,2318.64,4.47,3.33,100.03,11.59,99.62,1.73,97.94,37.43,48.34,41.92,49.29,23.67,98.89,49.69
68,1175,50,1225,2261.48,4.08,3.32,100.06,27.12,99.18,0.15,99.2,13.83,49.38,29.59,49.45,32.2,98.51,43.53
69,1161,55,1216,2352.21,4.52,3.35,100.11,36.08,98.04,0.0,99.55,43.91,49.13,52.73,48.75,26.83,96.78,26.03
70,1160,64,1224,2280.86,5.23,3.22,100.03,22.05,99.27,11.87,99.31,55.94,48.46,43.0,49.7,20.3,99.11,63.0
71,1167,56,1223,2290.03,4.58,3.27,100.04,13.99,99.37,10.43,98.31,35.8,49.87,47.6,48.58,25.07,98.41,43.86
72,1166,63,1229,2211.49,5.13,3.21,100.0,9.46,98.72,5.02,98.52,47.35,49.91,22.76,47.87,26.33,97.8,27.99
73,1161,58,1219,2266.48,4.76,3.31,100.04,6.58,98.67,10.71,97.27,55.73,52.37,94.99,45.71,35.19,97.81,69.5
74,1165,59,1224,2322.58,4.82,3.29,100.06,25.29,98.89,0.42,98.82,21.17,48.29,31.56,51.0,28.69,98.74,39.73
75,1151,64,1215,2315.64,5.27,3.23,100.06,5.24,99.93,3.02,99.16,40.4,47.42,67.59,50.71,28.89,98.06,22.12
76,1152,63,1215,2300.73,5.19,3.27,100.04,9.56,98.93,1.14,97.72,38.16,48.79,67.73,49.13,29.05,97.58,35.58
77,1157,63,1220,2249.19,5.16,3.32,100.05,18.57,98.81,10.73,97.92,33.74,49.89,50.67,48.41,24.16,97.82,22.39
78,1161,55,1216,2290.81,4.52,3.33,100.04,18.64,99.25,0.0,98.92,60.85,50.96,72.09,47.61,39.65,98.72,25.02
79,1162,64,1226,2308.02,5.22,3.17,100.09,10.88,99.66,0.0,99.26,24.16,49.0,61.29,49.44,16.61,99.3,17.81
80,1153,68,1221,2259.29,5.57,3.23,100.05,13.11,98.81,20.22,98.37,55.8,51.49,44.73,46.47,17.83,97.39,25.6
81,1173,63,1236,2266.58,5.1,3.32,100.06,12.1,99.85,0.08,98.71,47.99,48.24,88.79,50.56,34.38,98.06,27.44
82,1166,60,1226,2267.08,4.89,3.32,100.07,25.87,99.65,8.27,98.78,36.06,50.57,51.7,47.75,18.21,97.74,30.61
83,1176,58,1234,2277.34,4.7,3.28,100.06,19.18,99.53,1.78,99.32,25.19,51.23,60.98,47.96,42.24,98.07,20.06
84,1153,69,1222,2323.3,5.65,3.24,100.02,3.91,99.92,7.44,97.26,24.9,50.53,64.95,47.38,23.12,98.16,48.62
85,1167,59,1226,2279.5,4.81,3.29,99.96,11.49,99.11,13.41,99.46,23.96,50.34,69.77,47.53,34.17,97.83,18.6
86,1160,67,1227,2265.93,5.46,3.32,100.01,22.92,98.77,15.42,98.86,44.33,48.18,69.39,50.81,24.28,98.5,48.21
87,1153,66,1219,2312.08,5.41,3.18,100.0,19.96,99.22,2.1,98.41,24.04,50.95,58.33,45.45,12.41,97.38,38.46
88,1156,58,1214,2356.34,4.78,3.28,100.07,17.94,99.71,8.85,99.86,31.45,49.08,52.24,49.15,22.67,97.88,38.34
89,1158,57,1215,2316.33,4.69,3.24,100.01,17.69,99.9,9.49,97.74,24.28,49.28,67.05,49.06,14.72,98.08,31.14
90,1159,68,1227,2305.35,5.54,3.26,100.04,9.41,99.49,2.82,98.05,43.23,47.21,71.91,50.65,34.86,98.43,26.62
91,1148,69,1217,2271.55,5.67,3.3,100.02,18.92,98.97,6.22,98.69,46.15,49.45,57.63,48.48,34.51,98.39,30.12
92,1163,59,1222,2295.48,4.83,3.27,99.98,22.69,99.09,5.83,97.91,39.03,50.11,71.58,49.43,19.3,98.31,51.21
93,1157,69,1226,2303.18,5.63,3.28,100.07,11.25,99.48,10.17,98.45,52.75,50.56,27.56,49.1,12.51,97.6,33.29
94,1156,64,1220,2326.69,5.25,3.18,100.04,25.58,99.64,0.0,98.99,39.91,51.94,44.75,45.49,16.55,98.8,54.71
95,1166,55,1221,2326.13,4.5,3.25,100.06,12.27,99.72,2.17,98.98,45.54,49.77,62.95,49.75,12.38,98.45,63.24
96,1147,73,1220,2275.31,5.98,3.24,100.05,4.28,98.64,14.46,98.84,22.15,47.53,31.6,51.04,18.04,98.02,45.26
97,1171,60,1231,2292.29,4.87,3.34,100.03,15.19,99.59,0.0,99.28,41.8,49.98,53.71,50.11,19.52,97.92,24.61
98,1179,46,1225,2273.19,3.76,3.32,100.01,5.84,99.31,3.83,97.95,55.71,49.22,61.57,48.46,22.01,97.73,42.2
99,1166,64,1230,2307.54,5.2,3.27,100.0,15.94,99.8,5.38,97.59,39.64,47.07,45.25,52.39,38.11,98.39,40.15
100,1156,67,1223,2278.68,5.48,3.24,99.97,15.71,98.92,3.09,99.38,48.8,50.37,65.06,47.97,20.76,97.5,27.38
101,1168,59,1227,2302.07,4.81,3.27,100.02,1.72,99.85,0.35,98.99,29.25,46.41,65.0,51.66,30.86,97.76,35.28
102,1157,58,1215,2292.18,4.77,3.17,99.94,25.72,98.03,7.06,99.4,30.05,51.37,50.43,46.54,20.83,98.12,34.45
103,1155,68,1223,2282.47,5.56,3.28,99.99,7.59,98.64,4.84,96.52,41.38,52.42,78.83,46.95,17.01,98.88,39.64
104,1171,56,1227,2290.47,4.56,3.15,99.96,19.78,99.67,0.28,97.83,29.35,49.07,64.66,49.2,37.31,97.56,42.71
